-8.037621,-34.873450
-8.037544,-34.873477
-8.037517,-34.873457
-8.037268,-34.873148
-8.037249,-34.873106
-8.037247,-34.873002
-8.036969,-34.872248
-8.036503,-34.871234
-8.036487,-34.871157
-8.036490,-34.871061
-8.036515,-34.870994
-8.036556,-34.870926
-8.036615,-34.870866
-8.036884,-34.870705
-8.037428,-34.870353
-8.037655,-34.870280
-8.037728,-34.870272
-8.037847,-34.870275
-8.037992,-34.870289
-8.038088,-34.870288
-8.038841,-34.870812
-8.040126,-34.871752
-8.040297,-34.871868
-8.040607,-34.872056
-8.040776,-34.872176
-8.042065,-34.873100
-8.042621,-34.873517
-8.043239,-34.873961
-8.044000,-34.874476
-8.044624,-34.874849
-8.045809,-34.875724
-8.046190,-34.875988
-8.046428,-34.876194
-8.046643,-34.876292
-8.046810,-34.876400
-8.046855,-34.876410
-8.046919,-34.876411
-8.046982,-34.876398
-8.047054,-34.876359
-8.047292,-34.876112
-8.047465,-34.876033
-8.048315,-34.876047
-8.048783,-34.875451
-8.049180,-34.874960
-8.050224,-34.873590
-8.050982,-34.872603
-8.051166,-34.872360
-8.051353,-34.872167
-8.051577,-34.871991
-8.051740,-34.871883
-8.051786,-34.871862
-8.052209,-34.871771
-8.052747,-34.871740
-8.052957,-34.871765
-8.053940,-34.871914
-8.054434,-34.871976
-8.055641,-34.872155
-8.058005,-34.872453
-8.060298,-34.872787
-8.060488,-34.872843
-8.060936,-34.873081
-8.062184,-34.873789
-8.062276,-34.873827
-8.062378,-34.873849
-8.062520,-34.873888
-8.062590,-34.873923
-8.063341,-34.874393
-8.063439,-34.874430
-8.063502,-34.874443
-8.063614,-34.874446
-8.063765,-34.874436
-8.063623,-34.873657
-8.063509,-34.873024
-8.062670,-34.873185
-8.062615,-34.873184
-8.062572,-34.873173
-8.062460,-34.873101
-8.062199,-34.872879
-8.062359,-34.872599
